"Date and Time","IP Address","Visitor_Label","Browser","Version","OS","Resolution","Country","Region","City","Postal Code","ISP","Returning Count","Type","URL","Page Title","Came From","SE Name","SE Host","SE Term","Type"
"2018-01-22 13:52:56","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-22 13:52:55","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/bbs.html","Calibration with BBS — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/factor.html","","","",""
"2018-01-22 13:52:52","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/factor.html","Factor: Facet Calibration for LOFAR — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/dppp.html","","","",""
"2018-01-22 13:52:49","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 13:52:47","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/dppp.html","The Default Pre-Processing Pipeline (DPPP) — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","","","",""
"2018-01-22 13:52:45","145.18.169.94","","Chrome","63.0","OS X","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-22 13:51:22","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 13:51:11","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=inspection plots&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","","","",""
"2018-01-22 13:50:50","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 13:50:40","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-22 13:43:34","145.109.21.231","","","","","","","","","","","0","exit click","https://sourceforge.net/p/wsclean/wiki/Home/","","https://support.astron.nl/LOFARImagingCookbook/wsclean.html","","","",""
"2018-01-22 13:43:30","145.109.21.231","","Firefox","57.0","Linux","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/wsclean.html","The WSClean Imager — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 13:43:24","145.109.21.231","","Firefox","57.0","Linux","1920x1080","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://api-transients.slack.com/messages/C79P3C8TX/","","","",""
"2018-01-22 13:32:06","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/factor.html?highlight=prefactor","Factor: Facet Calibration for LOFAR — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=prefactor&check_keywords=yes&area=default","","","",""
"2018-01-22 13:32:01","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=prefactor&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 13:21:47","146.50.68.174","","Safari","11.0","OS X","2560x1440","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-22 12:55:49","192.87.1.200","","Firefox","57.0","OS X","1440x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","Introduction to LOFAR computing facilities — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-22 12:53:00","192.87.1.200","","Firefox","57.0","OS X","1440x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-22 12:17:53","193.1.66.154","","Firefox","57.0","Win10","1366x768","Ireland","","","","HEAnet Limited","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 22:18:16","217.120.106.223","","Firefox","57.0","Linux","1920x1080","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 20:51:46","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 19:06:28","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 14:57:01","46.11.99.247","","","","","","","","","","","0","exit click","http://www.lofar.org/wiki/doku.php?id=public: user_software:documentation:standard_imaging_pipeline","","https://support.astron.nl/LOFARImagingCookbook/resources.html","","","",""
"2018-01-21 14:56:58","46.11.99.247","","Chrome","62.0","Linux","1920x1080","Malta","","","","GO P.L.C.","0","page view","https://support.astron.nl/LOFARImagingCookbook/resources.html","Useful resources — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/dppp.html","","","",""
"2018-01-21 14:56:40","46.11.99.247","","Chrome","62.0","Linux","1920x1080","Malta","","","","GO P.L.C.","0","page view","https://support.astron.nl/LOFARImagingCookbook/dppp.html","The Default Pre-Processing Pipeline (DPPP) — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/aoflagger.html","","","",""
"2018-01-21 14:56:10","46.11.99.247","","Chrome","62.0","Linux","1920x1080","Malta","","","","GO P.L.C.","0","page view","https://support.astron.nl/LOFARImagingCookbook/aoflagger.html","AOFlagger — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/dppp.html","","","",""
"2018-01-21 14:55:08","46.11.99.247","","Chrome","62.0","Linux","1920x1080","Malta","","","","GO P.L.C.","0","page view","https://support.astron.nl/LOFARImagingCookbook/dppp.html","The Default Pre-Processing Pipeline (DPPP) — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-21 14:54:42","46.11.99.247","","Chrome","62.0","Linux","1920x1080","Malta","","","","GO P.L.C.","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-21 13:57:15","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 12:15:52","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 12:15:14","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-21 01:02:06","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","2","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-21 01:01:18","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","2","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-20 22:11:25","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-20 13:43:42","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-20 03:04:47","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","1","page view","https://support.astron.nl/LOFARImagingCookbook/tutorial.html","Practical examples — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-20 02:35:46","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-20 02:35:35","51.171.43.88","","","","","","","","","","","0","download","https://support.astron.nl/LOFARImagingCookbook/","","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-20 02:34:03","51.171.43.88","","","","","","","","","","","0","download","https://support.astron.nl/LOFARImagingCookbook/","","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-20 02:33:53","51.171.43.88","","Firefox","57.0","Win10","1366x768","United Kingdom","","","","Eircom","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-19 18:45:01","217.120.106.223","","Firefox","57.0","Linux","1920x1080","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-19 14:47:19","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html?highlight=drawer","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=DRAWER&check_keywords=yes&area=default","","","",""
"2018-01-19 14:46:17","192.87.1.200","","","","","","","","","","","0","exit click","mailto:vvacca@mpa-garching.mpg.de","","https://support.astron.nl/LOFARImagingCookbook/datainspection.html?highlight=drawer","","","",""
"2018-01-19 14:46:14","192.87.1.200","","","","","","","","","","","0","exit click","mailto:vvacca@mpa-garching.mpg.de","","https://support.astron.nl/LOFARImagingCookbook/datainspection.html?highlight=drawer","","","",""
"2018-01-19 14:43:52","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html?highlight=drawer","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/search.html?q=DRAWER&check_keywords=yes&area=default","","","",""
"2018-01-19 14:43:48","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/search.html?q=DRAWER&check_keywords=yes&area=default","Search — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-19 14:43:29","192.87.1.200","","Firefox","57.0","Linux","1600x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","https://www.astron.nl/radio-observatory/lofar/lofar-imaging-cookbook","","","",""
"2018-01-19 11:15:25","132.229.223.194","","","","","","","","","","","0","download","https://support.astron.nl/LOFARImagingCookbook/","","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-19 11:15:18","132.229.223.194","","Safari","11.0","OS X","1440x900","Netherlands","Zuid-Holland","Leiden","2300","Universiteit Leiden","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-19 08:45:27","192.87.1.200","","Firefox","57.0","Linux","1920x1080","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 22:32:11","94.212.4.246","","Opera","50.0","Win10","2560x1440","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","http://www.astron.nl/dailyimage/main.php?date=20180117","","","",""
"2018-01-18 22:32:02","94.212.4.246","","Opera","50.0","Win10","2560x1440","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","Introduction to LOFAR computing facilities — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-18 22:31:02","94.212.4.246","","","","","","","","","","","0","download","https://support.astron.nl/LOFARImagingCookbook/","","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-18 22:30:53","94.212.4.246","","Opera","50.0","Win10","2560x1440","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","http://www.astron.nl/dailyimage/main.php?date=20180117","","","",""
"2018-01-18 21:49:20","217.120.106.223","","Firefox","57.0","Linux","1920x1080","Netherlands","","","","Ziggo","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 16:33:31","146.50.68.151","","Safari","10.0","OS X","1280x800","Netherlands","Noord-Holland","Amsterdam","1000","Universiteit van Amsterdam","0","page view","https://support.astron.nl/LOFARImagingCookbook/sourcedetection.html","Source detection and sky model manipulation: PyBDSF and LSMTool — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-18 16:26:48","194.94.209.92","","Firefox","57.0","Linux","2560x1440","Germany","","","","Verein zur Foerderung eines Deutschen Forschungsne","0","page view","https://support.astron.nl/LOFARImagingCookbook/dpppcalibrate.html","Gain calibration with DPPP — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 16:06:42","194.94.209.92","","Firefox","57.0","Linux","1920x1080","Germany","","","","Verein zur Foerderung eines Deutschen Forschungsne","1","page view","https://support.astron.nl/LOFARImagingCookbook/dpppcalibrate.html","Gain calibration with DPPP — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 15:51:11","62.194.184.142","","Safari","10.0","OS X","1280x800","Netherlands","","","","UPC NL","0","page view","https://support.astron.nl/LOFARImagingCookbook/awimager.html","The AW Imager — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 15:51:05","62.194.184.142","","Safari","10.0","OS X","1280x800","Netherlands","","","","UPC NL","0","page view","https://support.astron.nl/LOFARImagingCookbook/resources.html","Useful resources — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 15:51:05","62.194.184.142","","Safari","10.0","OS X","1280x800","Netherlands","","","","UPC NL","0","page view","https://support.astron.nl/LOFARImagingCookbook/factor.html","Factor: Facet Calibration for LOFAR — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 14:58:44","192.87.1.200","","Chrome","63.0","Linux","1920x1080","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","Introduction to LOFAR computing facilities — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-18 14:58:43","192.87.1.200","","Chrome","63.0","Linux","1920x1080","Netherlands","","","","SURFnet bv","1","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","","","","",""
"2018-01-18 13:44:10","192.87.1.200","","Safari","11.0","OS X","1440x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/datainspection.html","Data inspection — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","","","",""
"2018-01-18 13:37:11","192.87.1.200","","Safari","11.0","OS X","1440x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/gettingstarted.html","Introduction to LOFAR computing facilities — LOFAR Imaging Cookbook 22.0 documentation","https://support.astron.nl/LOFARImagingCookbook/","","","",""
"2018-01-18 13:36:41","192.87.1.200","","Safari","11.0","OS X","1440x900","Netherlands","","","","SURFnet bv","0","page view","https://support.astron.nl/LOFARImagingCookbook/","Welcome to LOFAR Imaging Cookbook’s documentation! — LOFAR Imaging Cookbook 22.0 documentation","http://www.astron.nl/dailyimage/main.php?date=20180117","","","",""
